,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
16500,"August 2, 2016",Louisiana,Metairie,1400 block of South Laurel Street,0,1,http://www.gunviolencearchive.org/incident/625628,http://www.nola.com/crime/index.ssf/2016/08/jpso_seeking_info_on_laurel_st.html
16501,"August 2, 2016",Missouri,Kansas City,,1,0,http://www.gunviolencearchive.org/incident/622551,http://krcgtv.com/news/local/authorities-investigate-deadly-kansas-city-shooting
16502,"August 2, 2016",North Carolina,Whiteville,400 block of North Franklin Street,0,1,http://www.gunviolencearchive.org/incident/620083,http://www.foxwilmington.com/story/32600999/suspect-arrested-in-connection-to-whiteville-shooting
16503,"August 2, 2016",Illinois,Kankakee,200 block of North Cottage Avenue,0,1,http://www.gunviolencearchive.org/incident/621929,http://www.daily-journal.com/news/crime/police-investigating-nonfatal-shooting/article_ca154dfd-097a-55f5-bdec-0fffe32ffb22.html
16504,"August 2, 2016",Colorado,Aurora (Centennial),20900 E. Euclid Drive,1,1,http://www.gunviolencearchive.org/incident/621628,http://www.denverpost.com/2016/08/03/arapahoe-county-sheriff-identifies-couple-attempted-homicide-suicide/
16505,"August 2, 2016",Indiana,Washington,500 block of County Road 300 West,0,0,http://www.gunviolencearchive.org/incident/621112,http://44news.wevv.com/three-kentucky-men-arrested-drug-weapons-charges/
16506,"August 2, 2016",Kansas,Wichita,17th North and Grove,0,0,http://www.gunviolencearchive.org/incident/620990,http://www.kansas.com/news/local/crime/article93526762.html
16507,"August 2, 2016",Illinois,Peoria,500 block of South Charlton Street,0,1,http://www.gunviolencearchive.org/incident/620573,http://www.pjstar.com/news/20160803/peoria-man-and-two-juveniles-arrested-in-tuesday-shooting
16508,"August 2, 2016",Texas,Abilene,1200 block of Yeomans Road,0,0,http://www.gunviolencearchive.org/incident/622606,http://www.ktxs.com/news/abilene-man-confronted-by-three-teens-armed-with-a-gun/43313637
16509,"August 2, 2016",Kansas,El Dorado,2600 block of Country Club Road,1,0,http://www.gunviolencearchive.org/incident/619568,http://www.kwch.com/content/news/One-person-killed-in-El-Dorado-shooting-388932392.html
16510,"August 3, 2016",South Carolina,Columbia,3536 Kay Street,0,0,http://www.gunviolencearchive.org/incident/631934,http://www.abccolumbia.com/2016/08/17/17-year-old-charged-with-murder-one-still-sought-in-fatal-shooting/
16511,"August 3, 2016",Illinois,Chicago,8400 block of South Stony Island,1,0,http://www.gunviolencearchive.org/incident/621122,http://chicago.suntimes.com/news/54-year-old-man-critically-wounded-in-avalon-park-shooting/
16512,"August 3, 2016",California,Pasadena,Glen Avenue and Pepper Street,0,0,http://www.gunviolencearchive.org/incident/621312,http://www.pasadenastarnews.com/general-news/20160804/home-struck-by-gunfire-in-pasadena
16513,"August 3, 2016",California,Oakland,Santa Clara Avenue,0,0,http://www.gunviolencearchive.org/incident/620308,http://www.insidesocal.com/sgvcrime/2016/07/31/compton-man-accused-of-shooting-ex-girlfriends-car-in-norwalk/
16514,"August 3, 2016",Mississippi,Jackson,Archer Avenue,0,1,http://www.gunviolencearchive.org/incident/620314,http://www.wtvm.com/story/32667804/man-shot-in-leg-on-archer-avenue
16515,"August 3, 2016",Illinois,Chicago (Englewood),1200 block of West 72nd Place,0,1,http://www.gunviolencearchive.org/incident/621334,http://chicago.suntimes.com/news/man-shot-in-west-englewood-33/
16516,"August 3, 2016",Texas,Arlington,1800 block of McQueary Street,0,1,http://www.gunviolencearchive.org/incident/621343,http://www.star-telegram.com/news/local/crime/article93665842.html
16517,"August 3, 2016",Pennsylvania,Philadelphia,5400 Beaumont street,0,1,http://www.gunviolencearchive.org/incident/621345,http://6abc.com/news/man-shot-in-the-stomach-in-kingsessing/1456592/
16518,"August 3, 2016",Connecticut,Bridgeport,,0,0,http://www.gunviolencearchive.org/incident/621739,http://connecticut.news12.com/news/police-3-arrested-in-bridgeport-drug-bust-1.12133024
16519,"August 3, 2016",Kentucky,Lewisport,Riverview Drive,0,0,http://www.gunviolencearchive.org/incident/621340,http://www.14news.com/story/32681109/standoff-in-hancock-county-ends-peacefully
16520,"August 3, 2016",Ohio,Hamilton,1247 Central Avenue,2,0,http://www.gunviolencearchive.org/incident/621009,https://www.whio.com/news/crime--law/woman-behind-the-wheel-hamilton-drive-shooting-sentenced/gnWx62w9kKuH6ZAd7SmCoM/
16521,"August 3, 2016",Pennsylvania,Philadelphia,3000 block of North Second Street,0,1,http://www.gunviolencearchive.org/incident/621364,http://www.philly.com/philly/news/20160804_29-year-old_man_critical_after_being_shot_in_the_stomach.html
16522,"August 3, 2016",Florida,Saint Petersburg (St Petersburg),,0,0,http://www.gunviolencearchive.org/incident/715783,https://www.justice.gov/usao-mdfl/pr/st-petersburg-man-pleads-guilty-firearm-offense
16523,"August 3, 2016",Missouri,Saint Louis,10400 block of Gardo Ct,1,0,http://www.gunviolencearchive.org/incident/621012,http://www.stltoday.com/news/local/crime-and-courts/man-shot-to-death-in-bellefontaine-neighbors/article_8a068c29-cc6c-5255-a1cb-6dc2aa76ceb3.html
16524,"August 3, 2016",Illinois,Chicago,5200 block of West Polk,0,1,http://www.gunviolencearchive.org/incident/620350,http://chicago.suntimes.com/news/man-shot-during-robbery-in-lawndale/
16525,"August 3, 2016",Illinois,Chicago,1300 block of South Independence,0,1,http://www.gunviolencearchive.org/incident/621381,http://chicago.suntimes.com/news/woman-suffers-graze-wound-in-north-lawndale-shooting/
16526,"August 3, 2016",Illinois,Chicago,4700 block of South Michigan,0,1,http://www.gunviolencearchive.org/incident/621369,http://chicago.suntimes.com/news/man-critically-wounded-in-grand-boulevard-shooting-2/
16527,"August 3, 2016",Illinois,Chicago,8900 block of South Commercial,0,1,http://www.gunviolencearchive.org/incident/620354,http://chicago.suntimes.com/news/man-wounded-in-south-chicago-shooting-5/
16528,"August 3, 2016",Illinois,Chicago,1100 block of East 82nd Street,0,1,http://www.gunviolencearchive.org/incident/620360,http://chicago.suntimes.com/news/man-shot-in-avalon-park-3/
16529,"August 3, 2016",Virginia,Newport News,13000 block of Preakness Drive,0,1,http://www.gunviolencearchive.org/incident/620363,http://pilotonline.com/news/local/crime/boy-wounded-by-gunfire-in-newport-news/article_547cc1a5-87a3-5b0e-b706-825df6a6eb5c.html
16530,"August 3, 2016",District of Columbia,Washington,2900 block of Martin Luther King Avenue,0,1,http://www.gunviolencearchive.org/incident/620367,http://www.fox5dc.com/news/184635477-story
