,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
39000,"October 31, 2015",Connecticut,New Haven,Elm and York Street,0,1,http://www.gunviolencearchive.org/incident/440330,http://www.nhregister.com/general-news/20151031/yale-police-investigate-after-woman-shot-by-bb-gun
39001,"October 31, 2015",Florida,Pembroke Pines,Southwest 182nd Way and Fourth Street,0,0,http://www.gunviolencearchive.org/incident/442097,http://www.sun-sentinel.com/local/broward/pembroke-pines/fl-pines-parking-volunteer-arrest-20151104-story.html
39002,"October 31, 2015",Pennsylvania,Philadelphia,4300 block of N 17th St,1,0,http://www.gunviolencearchive.org/incident/440361,http://philadelphia.cbslocal.com/2015/11/01/woman-found-shot-to-death-in-north-philadelphia-park/
39003,"October 31, 2015",Mississippi,Jackson,100 block of Queen Anne Lane,0,1,http://www.gunviolencearchive.org/incident/440784,http://www.msnewsnow.com/story/30401708/a-violent-halloween-weekend-so-far-for-police
39004,"October 31, 2015",Pennsylvania,Philadelphia,500 block of W Venango St,0,1,http://www.gunviolencearchive.org/incident/439726,http://philadelphia.cbslocal.com/2015/10/31/woman-critically-wounded-in-shooting-in-north-philadelphia/
39005,"October 31, 2015",Wisconsin,Milwaukee,20th and Center,0,1,http://www.gunviolencearchive.org/incident/439826,http://fox6now.com/2015/10/31/police-man-shot-wounded-after-altercation-near-20th-and-center/
39006,"October 31, 2015",Massachusetts,Pittsfield,70 Lincoln Street,0,1,http://www.gunviolencearchive.org/incident/440297,http://www.masslive.com/news/index.ssf/2015/11/pittsfield_police_lincoln_stre.html#incart_river
39007,"October 31, 2015",Alaska,Anchorage,West Third,0,1,http://www.gunviolencearchive.org/incident/439841,http://www.adn.com/article/20151031/one-critical-condition-after-downtown-anchorage-shooting
39008,"October 31, 2015",New York,Staten Island,,0,0,http://www.gunviolencearchive.org/incident/440807,http://www.silive.com/northshore/index.ssf/2015/11/120_121_precincts_nab_guns_off.html#incart_river_home
39009,"October 31, 2015",Kentucky,Lexington,Sixth Street and Jefferson,0,0,http://www.gunviolencearchive.org/incident/439599,http://www.lex18.com/story/30657527/woman-arrested-in-connection-with-halloween-shooting
39010,"October 31, 2015",Colorado,Clifton,3268 E Road,0,1,http://www.gunviolencearchive.org/incident/439772,http://www.kjct8.com/news/headlines/MCSO-asks-for-communitys-help-in-Clifton-shooting-investigation-338899702.html
