,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
30000,"June 7, 2015",Kentucky,Lexington,Whitney Ave and Michigan St,2,1,http://www.gunviolencearchive.org/incident/353574,http://www.kentucky.com/2015/06/18/3907199_testimony-gun-bullet-ties-21-year.html?rh=1
30001,"June 7, 2015",Illinois,Chicago,4900 block of W Lake St,1,0,http://www.gunviolencearchive.org/incident/353716,https://www.dnainfo.com/chicago/20150601/austin/two-men-shot-killed-minutes-apart-austin-police-say
30002,"June 7, 2015",Maryland,Baltimore,5201 Park Heights Ave,1,1,http://www.gunviolencearchive.org/incident/353885,http://www.baltimoresun.com/news/maryland/crime/bs-md-ci-keith-davis-investigation-20180410-story.html
30003,"June 7, 2015",South Carolina,Columbia,Broad River Rd and Rushmore Rd,0,0,http://www.gunviolencearchive.org/incident/784143,http://wach.com/news/local/man-with-the-last-name-doctor-pleads-guilty-to-weapons-charges
30004,"June 7, 2015",Texas,Laredo,1900 block of South Canada Avenue,0,0,http://www.gunviolencearchive.org/incident/354433,http://www.lmtonline.com/front-news/article_aed58e94-0e31-11e5-91ad-7b05ef019bc0.html
30005,"June 7, 2015",Mississippi,Panola (county),,0,0,http://www.gunviolencearchive.org/incident/358222,https://www.wmcactionnews5.com/story/29291989/family-shot-at-while-in-pickup-truck-in-panola-county/
30006,"June 7, 2015",Texas,Copperas Cove,400 block of Myra Lou Avenue,0,0,http://www.gunviolencearchive.org/incident/354437,http://kdhnews.com/news/crime/blotter/june-police-blotter/article_9529c2ec-0e5b-11e5-8afd-571d262e5b34.html
30007,"June 7, 2015",South Carolina,Summerville,West 5th Street,0,0,http://www.gunviolencearchive.org/incident/368152,http://www.journalscene.com/article/20150703/SJ05/150709866/1053/
30008,"June 7, 2015",Oklahoma,Pottawatomie (county),,0,0,http://www.gunviolencearchive.org/incident/355702,https://kfor.com/news/breaking-standoff-in-seminole-county-shots-fired/
30009,"June 7, 2015",Missouri,Prairie Home,Lacy St,1,0,http://www.gunviolencearchive.org/incident/355785,https://www.columbiatribune.com/b22fcec9-0b00-5c87-afd3-4b146d82c690.html
30010,"June 7, 2015",Oregon,Prineville,4243 NW Elliot Lane,0,1,http://www.gunviolencearchive.org/incident/354519,http://www.bendnewstoday.com/archives/130254
30011,"June 7, 2015",Arizona,Guadalupe,Baseline Road and Priest Drive,0,1,http://www.gunviolencearchive.org/incident/354487,http://www.azcentral.com/story/news/local/tempe/2015/06/09/mcso-guadalupe-shooting-arrest-abrk/28731717/
30012,"June 7, 2015",Louisiana,La Place,Creole St,0,0,http://www.gunviolencearchive.org/incident/354135,http://www.nola.com/crime/index.ssf/2015/06/laplace_gun_discharge.html#incart_river
30013,"June 7, 2015",Illinois,Chicago,1700 block of North Talman,0,0,http://www.gunviolencearchive.org/incident/353377,http://www.14news.com/story/29260871/chicago-cops-report-officer-involved-shooting-by-new-trails
30014,"June 7, 2015",California,Fresno,West Fir and North Sugar Pine Avenues,0,1,http://www.gunviolencearchive.org/incident/354498,http://www.fresnobee.com/news/local/crime/article23525812.html
30015,"June 7, 2015",California,Fresno,3200 block of West Clinton Avenue,0,1,http://www.gunviolencearchive.org/incident/353803,http://www.fresnobee.com/news/local/crime/article23525812.html
