Unnamed: 0,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
997,"April 12, 2020",Georgia,Atlanta,100 block of 10th St,0,1,http://www.gunviolencearchive.org/incident/1658005,https://www.cbs46.com/news/police-search-for-suspect-involved-in-midtown-atlanta-shooting/article_bb0feb48-7d10-11ea-bb3b-3f230825c853.html
998,"April 12, 2020",Tennessee,Chattanooga,7420 Bonny Oaks Dr,1,0,http://www.gunviolencearchive.org/incident/1659277,https://www.wrcbtv.com/story/42007944/man-found-shot-to-death-on-bonny-oaks-drive-over-easter-weekend
999,"April 12, 2020",Florida,Venice,Laurel Rd,0,0,http://www.gunviolencearchive.org/incident/1659280,https://www.mysuncoast.com/2020/04/14/police-investigating-shooting-into-moving-vehicle-that-occurred-easter-night-venice/
1000,"April 12, 2020",Wisconsin,Milwaukee,N 27th St and W Fond Du Lac Ave,0,1,http://www.gunviolencearchive.org/incident/1658013,https://twitter.com/MilwaukeePolice/status/1249729791949000704
1001,"April 11, 2020",Illinois,Chicago,100 block of N Latrobe Ave,0,1,http://www.gunviolencearchive.org/incident/1657288,https://www.nbcchicago.com/news/local/2-dead-at-least-5-injured-in-shootings-across-chicago/2254303/
1002,"April 11, 2020",Illinois,Chicago,7600 block of S Racine Ave,0,1,http://www.gunviolencearchive.org/incident/1657290,https://www.nbcchicago.com/news/local/2-dead-at-least-5-injured-in-shootings-across-chicago/2254303/
1003,"April 11, 2020",Illinois,Chicago,3800 W Maypole Ave,0,1,http://www.gunviolencearchive.org/incident/1657293,https://www.nbcchicago.com/news/local/2-dead-at-least-5-injured-in-shootings-across-chicago/2254303/
1004,"April 11, 2020",Pennsylvania,Wilkes Barre,Church St,0,1,http://www.gunviolencearchive.org/incident/1657745,https://www.timesleader.com/news/779999/police-multiple-shots-fired-in-home-invasion
1005,"April 11, 2020",Illinois,Chicago,4400 block of N Lawndale Ave,0,1,http://www.gunviolencearchive.org/incident/1657295,https://www.nbcchicago.com/news/local/2-dead-at-least-5-injured-in-shootings-across-chicago/2254303/
1006,"April 11, 2020",Illinois,Chicago,11900 block of S Indiana Ave,1,0,http://www.gunviolencearchive.org/incident/1657297,https://chicago.suntimes.com/crime/2020/4/12/21218071/lamarcus-milligan-shot-killed-homicide-gun-violence-west-pullman-indiana
1007,"April 11, 2020",Illinois,Rantoul,1100 block of Falcon Dr,0,1,http://www.gunviolencearchive.org/incident/1657156,https://www.news-gazette.com/news/local/courts-police-fire/champaign-17-year-old-charged-in-alleged-drug-deal-shooting/article_0b30e613-485d-582b-b901-af9317da0b97.html
1008,"April 11, 2020",Florida,West Palm Beach (Lake Park),1262 Northlake Blvd,0,0,http://www.gunviolencearchive.org/incident/1658543,https://www.palmbeachpost.com/news/20200413/report-man-shot-into-womans-car-near-lake-park-chick-fil-a
1009,"April 11, 2020",Georgia,Dublin,Hudson St,1,0,http://www.gunviolencearchive.org/incident/1658547,https://wgxa.tv/news/local/police-19-year-old-killed-in-dublin-shooting
1010,"April 11, 2020",Delaware,Dover,Presidents Dr and N Governors Blvd,0,0,http://www.gunviolencearchive.org/incident/1657326,https://dsp.delaware.gov/2020/04/12/troopers-investigating-shooting-dover-6/
1011,"April 11, 2020",Illinois,Chicago,7200 N Damen Ave,0,1,http://www.gunviolencearchive.org/incident/1657301,https://heyjackass.com/
1012,"April 11, 2020",Illinois,Chicago,200 W 38th Pl,0,1,http://www.gunviolencearchive.org/incident/1657303,https://heyjackass.com/
1013,"April 11, 2020",Georgia,Conley,1600 Block of Lamont Ave,1,1,http://www.gunviolencearchive.org/incident/1657394,https://www.ajc.com/news/crime--law/second-suspect-arrested-deadly-shooting-year-old-boy/L2dQbI6ZJGDiQzeJXHCRXK/
1014,"April 11, 2020",New York,Brooklyn,Prospect Pl and Nostrand Ave,0,1,http://www.gunviolencearchive.org/incident/1661354,https://www.nydailynews.com/new-york/nyc-crime/ny-gunman-opens-fire-brooklyn-shoots-rival-20200418-f4xr373wvrc6jgfzg4tygw2ilm-story.html
1015,"April 11, 2020",Wisconsin,Milwaukee,500 block of W Wright St,1,0,http://www.gunviolencearchive.org/incident/1657510,https://projects.jsonline.com/apps/Milwaukee-Homicide-Database/
1016,"April 11, 2020",Pennsylvania,Philadelphia,200 block of E Queen Ln,0,1,http://www.gunviolencearchive.org/incident/1856589,https://www.opendataphilly.org/dataset/shooting-victims/resource/a6240077-cbc7-46fb-b554-39417be606ee?fbclid=IwAR3qc3Qq58vSGiBnOi2Zcvp_8DtbBnf6gbwCiQ2C4OLoXkCzYf6yjg9VPgk
1017,"April 11, 2020",Pennsylvania,Philadelphia,2000 block of Cecil B Moore Ave,0,1,http://www.gunviolencearchive.org/incident/1856591,https://www.opendataphilly.org/dataset/shooting-victims/resource/a6240077-cbc7-46fb-b554-39417be606ee?fbclid=IwAR3qc3Qq58vSGiBnOi2Zcvp_8DtbBnf6gbwCiQ2C4OLoXkCzYf6yjg9VPgk
