,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
22500,"June 22, 2020",Illinois,Chicago,5200 block of S Lowe Ave,0,4,http://www.gunviolencearchive.org/incident/1712386,https://chicago.suntimes.com/crime/2020/6/22/21298744/back-yards-shooting-three-wounded-lowe-gun-violence
22501,"June 22, 2020",New Jersey,Newark,400 block of Irvine Turner Blvd,0,1,http://www.gunviolencearchive.org/incident/1715195,https://www.rlsmedia.com/article/male-injured-newarks-irvine-turner-boulevard-shooting
22502,"June 22, 2020",Illinois,Champaign,Nelson Ct and Phillips Dr,0,1,http://www.gunviolencearchive.org/incident/1713867,https://www.wandtv.com/news/police-teen-shot-twice-in-gunfire-exchange-with-vehicle/article_4d238f66-b4d0-11ea-b7fb-c7e520463ab3.html
22503,"June 22, 2020",Illinois,Chicago,7000 block of S Bishop St,0,3,http://www.gunviolencearchive.org/incident/1712402,https://chicago.suntimes.com/crime/2020/6/22/21298769/englewood-shooting-gun-violence-bishop
22504,"June 22, 2020",New Jersey,Penns Grove,Franklin St and Harmony St,0,1,http://www.gunviolencearchive.org/incident/1715217,https://www.nj.com/salem/2020/06/man-in-critical-condition-after-being-shot-in-his-car-in-salem-county.html
22505,"June 22, 2020",Illinois,Chicago,1500 block of S California Ave,0,1,http://www.gunviolencearchive.org/incident/1713115,https://www.nbcchicago.com/news/local/chicago-weekend-shootings-2-dead-at-least-21-wounded-in-gun-violence-thus-far/2292837/
22506,"June 22, 2020",Illinois,Chicago,200 S Central Park Blvd,0,5,http://www.gunviolencearchive.org/incident/1712408,https://chicago.suntimes.com/crime/2020/6/22/21298775/garfield-park-teen-girl-5-shot-gun-violence-central-park
22507,"June 22, 2020",North Carolina,High Point,Meredith St and Hoover Ave,0,1,http://www.gunviolencearchive.org/incident/1712418,https://myfox8.com/news/teenager-taken-to-hospital-after-shooting-in-high-point/
22508,"June 22, 2020",Illinois,Chicago,100 block of S Washtenaw Ave,1,0,http://www.gunviolencearchive.org/incident/1712436,https://chicago.suntimes.com/crime/2020/6/22/21298800/east-garfield-park-gun-violence-homicide-man-killed-washtenaw
22509,"June 22, 2020",Wisconsin,Madison,4501 Verona Rd,0,0,http://www.gunviolencearchive.org/incident/1713898,https://www.channel3000.com/madison-police-investigate-shots-fired-apparent-chase-near-gas-station/
22510,"June 22, 2020",Florida,Fort Pierce,1640 Seaway Dr,0,1,http://www.gunviolencearchive.org/incident/1713919,https://www.tcpalm.com/story/news/crime/st-lucie-county/2020/06/22/shooting-in-parking-lot-of-manatee-island-bar-and-grill-sends-18-year-old-to-hospital-fort-pierce/3236720001/
22511,"June 22, 2020",Illinois,East Saint Louis (Alorton),103 Greystone Dr,0,2,http://www.gunviolencearchive.org/incident/1713935,https://www.ksdk.com/article/news/crime/double-shooting-alorton-apartments/63-45157e3e-09b2-4d03-a01a-47c407505acb
22512,"June 22, 2020",Florida,Boynton Beach,1400 Via Lugano Cir,0,1,http://www.gunviolencearchive.org/incident/1713930,https://www.palmbeachpost.com/news/20200623/boynton-police-loversrsquo-triangle-led-to-shooting-manrsquos-injury
22513,"June 22, 2020",Tennessee,Memphis,3500 block of W Horn Lake Rd,1,0,http://www.gunviolencearchive.org/incident/1712459,https://www.wmcactionnews5.com/2020/06/22/man-dead-after-shooting-crash-south-memphis/
22514,"June 22, 2020",Connecticut,Bridgeport,533 Harral Ave,0,2,http://www.gunviolencearchive.org/incident/1713817,https://www.ctpost.com/policereports/article/Cops-Man-dead-after-being-shot-multiple-times-in-15359240.php
22515,"June 22, 2020",Florida,Miami,NW 22nd Ave and 74th St,0,2,http://www.gunviolencearchive.org/incident/1712466,https://wsvn.com/news/local/2-in-critical-condition-after-drive-by-shooting-in-nw-miami-dade/
22516,"June 21, 2020",New York,Buffalo,Bailey Ave,0,1,http://www.gunviolencearchive.org/incident/1712111,https://www.wivb.com/news/buffalo-police-investigating-possible-shooting-after-gunshot-victim-pulled-over-in-rochester/
22517,"June 21, 2020",New York,Buffalo,Grider St and E Ferry St,0,1,http://www.gunviolencearchive.org/incident/1712115,https://www.wivb.com/news/crime/buffalo-man-shot-sunday-morning-police-investigating/
22518,"June 21, 2020",New York,Buffalo,400 block of Guilford St,0,2,http://www.gunviolencearchive.org/incident/1712120,https://www.wivb.com/news/crime/2-shot-overnight-on-buffalos-east-side/
22519,"June 21, 2020",Arizona,Phoenix,1737 W Desert Cove Ave,1,0,http://www.gunviolencearchive.org/incident/1712670,https://azdailysun.com/news/state-and-regional/16-year-old-girl-dead-after-gun-discharges-in-phoenix-home/article_3b0122ab-bfde-5693-aaf8-a1caff6c54a5.html
22520,"June 21, 2020",Minnesota,Minneapolis,3315 Bryant Ave N,1,0,http://www.gunviolencearchive.org/incident/1712518,https://twitter.com/CrimeWatchMpls/status/1275898403491282944
22521,"June 21, 2020",Minnesota,Minneapolis (Crystal),5216 W Broadway Ave,1,0,http://www.gunviolencearchive.org/incident/1711670,https://twitter.com/CrimeWatchMpls/status/1275889556815044611
22522,"June 21, 2020",Alabama,Birmingham (Center Point),149 Haversham Dr NW,0,1,http://www.gunviolencearchive.org/incident/1714873,https://www.wvtm13.com/article/investigation-into-center-point-shootout-one-person-injured/32936332
22523,"June 21, 2020",New York,Brooklyn,1776 Union St,0,0,http://www.gunviolencearchive.org/incident/1712146,https://twitter.com/NYC_Alerts911/status/1274882514646163456
22524,"June 21, 2020",California,Milpitas,100 block of N Temple Dr,1,0,http://www.gunviolencearchive.org/incident/1712582,https://www.mercurynews.com/2020/06/25/authorities-identify-man-killed-in-milpitas-police-shooting/
22525,"June 21, 2020",Tennessee,Nashville,Ellington Pkwy and Cleveland St,0,0,http://www.gunviolencearchive.org/incident/1715980,https://www.wkrn.com/news/crime-tracker/crime-stoppers/investigation-underway-after-metro-police-cruiser-tow-truck-shot/
22526,"June 21, 2020",Ohio,Cincinnati,200 block of McGregor Ave,1,0,http://www.gunviolencearchive.org/incident/1711785,https://www.cincinnati.com/story/news/2020/07/20/cincinnati-police-arrest-man-shooting-murder-mt-auburn/5474286002/
22527,"June 21, 2020",Texas,Waco,700 block of Olive St,0,2,http://www.gunviolencearchive.org/incident/1713474,https://www.wacotrib.com/news/crime/18-year-old-arrested-after-drive-by-shooting-injures-2-in-waco/article_7601eb33-f2f9-560e-ab11-fb1d763fb344.html
22528,"June 21, 2020",New York,Brooklyn,143 Hull St,0,1,http://www.gunviolencearchive.org/incident/1713327,https://twitter.com/NYC_Alerts911/status/1274905184272101377
22529,"June 21, 2020",Louisiana,Lafayette,100 block of Evelyn Dr,0,1,http://www.gunviolencearchive.org/incident/1713331,https://www.theadvertiser.com/story/news/crime/2020/06/22/lafayette-police-searching-suspect-after-man-shot-face/3234746001/
22530,"June 21, 2020",Virginia,Virginia Beach,3700 block of Whitney Ct,0,2,http://www.gunviolencearchive.org/incident/1712230,https://www.wavy.com/news/local-news/virginia-beach/shooting-on-whitney-court-sends-2-to-the-hospital/
22531,"June 21, 2020",California,San Diego,3600 block of 47th St,0,1,http://www.gunviolencearchive.org/incident/1712163,https://fox5sandiego.com/news/local-news/police-man-shot-in-city-heights/
22532,"June 21, 2020",California,Santa Maria,2250 Preisker Ln,0,1,http://www.gunviolencearchive.org/incident/1712168,https://www.ksby.com/news/local-news/santa-maria-police-department-investigating-officer-involved-shooting
22533,"June 21, 2020",Massachusetts,Boston,Columbia Rd and Washington St,0,1,http://www.gunviolencearchive.org/incident/1712339,https://www.universalhub.com/crime/20200621/man-shot-near-columbia-road-and-washington-street
22534,"June 21, 2020",Virginia,Norfolk,600 Gresham Dr,0,0,http://www.gunviolencearchive.org/incident/1712923,https://www.13newsnow.com/article/news/crime/sentara-norfolk-general-temporarily-locked-down-when-person-discharged-weapon-in-er/291-fda3e287-f115-4a7a-8478-583198cb57e1
