,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
48000,"December 29, 2019",Missouri,Springfield,333 S John Q Hammons Pkwy,0,1,http://www.gunviolencearchive.org/incident/1583024,https://www.ozarksfirst.com/local-news/accidental-shooting-at-university-plaza-hotel-sends-one-person-to-the-hospital/
48001,"December 29, 2019",New York,Buffalo,Lonsdale Rd and Northland Ave,0,1,http://www.gunviolencearchive.org/incident/1583032,https://www.wkbw.com/news/local-news/buffalo-police-officer-involved-in-shooting-on-the-east-side
48002,"December 29, 2019",New Jersey,Asbury Park (Ocean),2152 Aldrin Rd,0,1,http://www.gunviolencearchive.org/incident/1584160,https://www.app.com/story/news/crime/jersey-mayhem/2019/12/30/one-person-shot-ocean-apartment-complex-victim-released-hospital/2774166001/
48003,"December 29, 2019",Arkansas,Little Rock,500 block of Chickadee Dr,0,1,http://www.gunviolencearchive.org/incident/1582977,https://www.kark.com/news/one-male-shot-in-little-rock-police-say/
48004,"December 29, 2019",New Jersey,Elizabeth,381 Morris Ave,1,0,http://www.gunviolencearchive.org/incident/1583088,https://www.nj.com/essex/2020/01/2-charged-with-fatal-shooting-of-19-year-old-in-elizabeth.html
48005,"December 29, 2019",South Dakota,Sioux Falls,Garfield Ave and McClellan St,0,0,http://www.gunviolencearchive.org/incident/1584166,https://www.argusleader.com/story/news/crime/2019/12/30/police-investigate-western-sioux-fall-shooting/2775893001/
48006,"December 29, 2019",Washington,Seattle,WA-509 and 1st Ave S,1,0,http://www.gunviolencearchive.org/incident/1583067,https://komonews.com/news/local/driver-dies-after-being-shot-in-the-face-on-sr-509-in-seattle
48007,"December 29, 2019",New Jersey,Newark,195 Ferry St,0,0,http://www.gunviolencearchive.org/incident/1583076,https://www.rlsmedia.com/article/business-security-guard-fires-shots-suspect-during-newark-ironbound-incident
48008,"December 29, 2019",New Jersey,Paterson,,0,1,http://www.gunviolencearchive.org/incident/1583085,https://www.rlsmedia.com/article/update-34-year-old-man-shot-paterson
48009,"December 29, 2019",New Jersey,Trenton,20 block of Moreland Ave,0,1,http://www.gunviolencearchive.org/incident/1583097,https://www.rlsmedia.com/article/man-shot-moreland-street-trenton
48010,"December 29, 2019",New York,New York (Manhattan),Academy St and Seaman Ave,0,0,http://www.gunviolencearchive.org/incident/1584204,https://nypost.com/2019/12/30/three-armed-men-rob-tourist-staying-at-inwood-airbnb/
48011,"December 29, 2019",District of Columbia,Washington,Queen St NE and Trinidad Ave NE,0,1,http://www.gunviolencearchive.org/incident/1582405,https://www.popville.com/2019/12/dc-daytime-shooting-trinidad/
48012,"December 29, 2019",Maryland,Fort Washington,9580 Livingston Rd,0,1,http://www.gunviolencearchive.org/incident/1582418,https://www.washingtonpost.com/local/public-safety/guard-is-stabbed-fires-gun-during-confrontation-prince-georges-police-say/2019/12/30/87afcf34-2a9a-11ea-9b60-817cc18cf173_story.html
48013,"December 29, 2019",Wisconsin,Almena,,0,0,http://www.gunviolencearchive.org/incident/1583473,https://wqow.com/2019/12/30/barron-county-man-arrested-for-making-threats-allegedly-firing-gun-while-intoxicated/
48014,"December 29, 2019",Iowa,Elgin,222 Center St,0,0,http://www.gunviolencearchive.org/incident/1584274,https://www.kcrg.com/content/news/One-arrested-following-shooting-outside-of-Fayette-County-bar-566566781.html
48015,"December 29, 2019",Florida,Gainesville,6600 block of NW 25th Terrace,0,1,http://www.gunviolencearchive.org/incident/1584307,https://www.gainesville.com/news/20191230/gainesville-police-report-two-shootings-car-crash
48016,"December 29, 2019",Florida,Hawthorne,SR 20,1,0,http://www.gunviolencearchive.org/incident/1584309,https://www.wcjb.com/content/news/Homicide-in-Hawthorne-Putnam-County-deputies-investigating-566572021.html
48017,"December 30, 2019",Virginia,Portsmouth,2000 block of Victory Blvd,0,1,http://www.gunviolencearchive.org/incident/1583984,https://www.wavy.com/news/local-news/portsmouth/police-person-shot-in-torso-on-victory-boulevard/
48018,"December 30, 2019",Texas,Cedar Hill,2400 block of Scenic Ct,0,0,http://www.gunviolencearchive.org/incident/1586993,https://dfw.cbslocal.com/2019/12/30/2-suspects-shot-at-cedar-hill-police-arrested-after-chase-standoff/
48019,"December 30, 2019",Texas,San Antonio,,0,0,http://www.gunviolencearchive.org/incident/1588741,https://www.mysanantonio.com/news/local/article/Man-wanted-in-connection-with-domestic-violence-14942061.php
48020,"December 30, 2019",Tennessee,Antioch,300 Hickory Hollow Pl,0,2,http://www.gunviolencearchive.org/incident/1583679,https://www.wsmv.com/news/two-people-shot-at-antioch-apartment-complex-monday-morning/article_fc059aac-2afa-11ea-a804-7ba5cf31624d.html
48021,"December 30, 2019",Louisiana,Thibodaux,Karla Dr,0,0,http://www.gunviolencearchive.org/incident/1583997,https://www.wwltv.com/article/news/local/man-wounded-during-drive-by-shooting-in-thibodaux/289-32a486db-54d6-48c3-be49-18df528cc1cb
48022,"December 30, 2019",Texas,San Antonio,13658 O'Connor Rd,1,0,http://www.gunviolencearchive.org/incident/1583787,https://news4sanantonio.com/news/local/victim-shot-multiple-times-though-car-window-police-search-for-gunman?fbclid=IwAR0Lwlh-sOLhSSo7EtZ6YiKFgyAfC6qYPXgPFEYEogLJB-aqf4ETF9AxnI4
48023,"December 30, 2019",Alabama,Huntsville,Oakdale Ct NW,0,0,http://www.gunviolencearchive.org/incident/1587234,https://whnt.com/2020/01/02/five-arrested-after-police-standoff-during-search-warrant/
48024,"December 30, 2019",Oregon,Portland,NW Broadway and NW Flanders St,0,2,http://www.gunviolencearchive.org/incident/1583427,https://www.oregonlive.com/news/2020/01/victim-in-nw-portland-shooting-has-died.html
48025,"December 30, 2019",Missouri,Fulton,706 Hickman Ave,1,0,http://www.gunviolencearchive.org/incident/1584089,https://krcgtv.com/news/local/documents-show-drug-deal-connected-to-fulton-police-officer-involved-fatal-shooting
48026,"December 30, 2019",Louisiana,Abbeville,,0,1,http://www.gunviolencearchive.org/incident/1587267,https://www.klfy.com/local/abbeville-pd-vehicle-carrying-children-shot-several-times-one-woman-injured/
48027,"December 30, 2019",Texas,Houston,5700 Pershing St,1,0,http://www.gunviolencearchive.org/incident/1583896,https://www.chron.com/news/houston-texas/houston/article/Officers-shoot-armed-suspect-dead-after-pursuit-14938865.php?cmpid=hpctp&fbclid=IwAR2k9ZNWBq_P-mC69U9xdXb5iSAle0AhfsVHl6vHQ0RYJWBmSjcAEoa7hLI#photo-18815963
48028,"December 30, 2019",Texas,Mesquite,3600 Gus Thomasson Rd,0,1,http://www.gunviolencearchive.org/incident/1584769,https://dfw.cbslocal.com/2020/01/03/wesley-gerard-jones-arrested-shooting-store-employee-robbery-mesquite/
48029,"December 30, 2019",Pennsylvania,Uniontown,Carlisle St,0,0,http://www.gunviolencearchive.org/incident/1591955,https://www.heraldstandard.com/news/local_news/uniontown-police-man-shot-at-boy-during-home-invasion/article_0f54a30a-3258-11ea-95e5-1f6d928a66d1.html
48030,"December 30, 2019",Alabama,Mobile,1357 Plaza Dr,0,1,http://www.gunviolencearchive.org/incident/1584082,https://www.wkrg.com/top-stories/person-shot-off-duval-street-in-mobile/
48031,"December 30, 2019",Texas,Cypress,8500 block of Easton Commons Dr,1,0,http://www.gunviolencearchive.org/incident/1584751,https://twitter.com/JeffEhlingABC13/status/1211970676451610627
48032,"December 30, 2019",Arkansas,Forrest City,700 block of Hickey St,0,1,http://www.gunviolencearchive.org/incident/1584093,https://wreg.com/2019/12/30/arkansas-police-search-for-shooting-suspect-who-may-be-travelling-cross-state/
48033,"December 30, 2019",Louisiana,Monroe,300 block of Dellwood Dr,0,0,http://www.gunviolencearchive.org/incident/1585145,https://www.myarklamiss.com/crime/monroe-man-arrested-for-firing-gun-in-the-air/
48034,"December 30, 2019",Louisiana,Baton Rouge,38th St and Wyandotte St,0,1,http://www.gunviolencearchive.org/incident/1584104,https://www.theadvocate.com/baton_rouge/news/crime_police/article_0fabcb52-2b83-11ea-acb9-77e22853a2cf.html
48035,"December 30, 2019",Arkansas,Fort Smith,5221 Johnson St,0,0,http://www.gunviolencearchive.org/incident/1585103,https://5newsonline.com/2020/01/03/two-adults-one-minor-arrested-in-connection-to-shooting-at-fort-smith-apartment-complex/
48036,"December 30, 2019",Pennsylvania,Uniontown,200 block of N Gallatin Ave,0,1,http://www.gunviolencearchive.org/incident/1584152,https://pittsburgh.cbslocal.com/2019/12/30/uniontown-north-gallatin-avenue-family-dollar-shooting/
48037,"December 30, 2019",Arkansas,Little Rock,Knollwood Dr,0,0,http://www.gunviolencearchive.org/incident/1585182,https://www.thv11.com/article/news/crime/little-rock-house-hit-with-multiple-shots-of-gunfire-suspect-unknown/91-d439c857-5a2c-4337-9871-b68a88545607
