,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
0,"March 8, 2019",Florida,Fort Lauderdale (Dania Beach),700 block of Phippen Waiters Rd,1,0,http://www.gunviolencearchive.org/incident/1344228,https://www.local10.com/news/florida/broward/dania-beach-man-shot-dead-during-neighborhood-memorial-service?fbclid=IwAR059iQLJw2xO3HkUWW06X7bsUD2q3FTVoJE-d91LJ9jR35CZ-hU2_LCzHo
1,"March 8, 2019",Tennessee,Memphis,2200 block of Howell Ave,0,1,http://www.gunviolencearchive.org/incident/1342868,https://www.fox13memphis.com/top-stories/man-rushed-to-hospital-after-shooting-in-north-memphis-police-say/928868544
2,"March 8, 2019",Tennessee,Memphis,Birch Lake Drive,0,2,http://www.gunviolencearchive.org/incident/1342401,https://wreg.com/2019/03/08/police-investigating-following-shooting-that-injured-two-people-in-southeast-memphis/
3,"March 8, 2019",Tennessee,Memphis,1500 block of Gathier St,0,1,http://www.gunviolencearchive.org/incident/1342547,https://wreg.com/2019/03/08/one-person-injured-in-south-memphis-shooting/
4,"March 8, 2019",Ohio,Middletown,3005 Goldman Ave,0,0,http://www.gunviolencearchive.org/incident/1344272,https://www.wdtn.com/news/local-news/middletown-man-charged-with-felony-possession-of-drugs/1840362240
5,"March 8, 2019",Tennessee,Memphis,1559 Sycamore View Rd,0,1,http://www.gunviolencearchive.org/incident/1342550,https://wreg.com/2019/03/08/suspect-at-large-following-sycamore-view-shooting/
6,"March 8, 2019",Virginia,Richmond,2500 block of Courtland St,0,1,http://www.gunviolencearchive.org/incident/1342455,https://wtvr.com/2019/03/08/man-wounded-in-daytime-shooting-in-south-richmond/
7,"March 8, 2019",California,Fresno,1033 Van Ness Ave,0,0,http://www.gunviolencearchive.org/incident/1342990,https://www.fresnobee.com/news/local/crime/article227303754.html
8,"March 8, 2019",Georgia,Austell,300 Riverside Pkwy,0,3,http://www.gunviolencearchive.org/incident/1346258,http://www.northwestgeorgianews.com/region/warrant-austell-man-allegedly-shot-several-people-at-riverside-parkway/article_d90a69c6-0b8c-510d-98cb-e46a96809fa3.html
9,"March 8, 2019",Georgia,Savannah,,0,0,http://www.gunviolencearchive.org/incident/1344285,https://www.savannahnow.com/news/20190311/savannah-police-arrest-four-in-yamacraw-village-seize-marijuana-ecstasy-pills-guns
10,"March 8, 2019",North Carolina,Charlotte,Old Interstate Rd,0,2,http://www.gunviolencearchive.org/incident/1342999,http://www.wbtv.com/2019/03/09/brothers-ages-grazed-by-bullet-accidental-shooting-near-hotel-north-charlotte-2/
11,"March 8, 2019",Maryland,Baltimore,4800 block of Erdman Ave,0,1,http://www.gunviolencearchive.org/incident/1582610,https://data.baltimorecity.gov/Public-Safety/shooting/xn65-76vr
12,"March 8, 2019",Louisiana,Lafayette,300 block of Connie Cir,0,0,http://www.gunviolencearchive.org/incident/1342566,https://kadn.com/lafayette-parish-sheriffs-office-daily-arrest-report-for-march-8-2019/
13,"March 8, 2019",Louisiana,Breaux Bridge,1000 block of Breaux Bridge,0,0,http://www.gunviolencearchive.org/incident/1342568,https://kadn.com/lafayette-parish-sheriffs-office-daily-arrest-report-for-march-8-2019/
14,"March 8, 2019",Washington,Lake Stevens,,0,0,http://www.gunviolencearchive.org/incident/1428664,https://www.kiro7.com/news/local/lake-stevens-dad-fends-off-armed-intruder-hiding-in-garage/929106985/
15,"March 8, 2019",Louisiana,Houma,636 Cameron Isles Ct,0,0,http://www.gunviolencearchive.org/incident/1342577,https://www.houmatoday.com/news/20190308/police-report-march-6-8-2019
16,"March 8, 2019",Louisiana,Baton Rouge,3863 Topeka St,0,0,http://www.gunviolencearchive.org/incident/1342596,https://www.theadvocate.com/baton_rouge/news/crime_police/article_e688c16e-4201-11e9-bd62-1374cfe87bec.html
17,"March 8, 2019",Colorado,Colorado Springs,E Monument St and Bennett Ave,0,1,http://www.gunviolencearchive.org/incident/1343017,https://gazette.com/news/boy-injured-in-drive-by-shooting-in-colorado-springs-knob/article_a56d8042-427a-11e9-96f0-d71646337015.html
18,"March 8, 2019",North Carolina,Clayton,149 Honeybee Trace,0,1,http://www.gunviolencearchive.org/incident/1343024,https://www.wral.com/police-man-actively-avoided-authorities-before-arrest-in-clayton-shooting/18292827/
19,"March 8, 2019",Colorado,Greeley,2050 Greeley Mall,0,0,http://www.gunviolencearchive.org/incident/1343019,https://www.9news.com/article/news/local/pair-in-custody-after-shots-fired-at-greeley-mall/73-de405f87-0d56-4d0c-8cfe-7b6a3b59e326
20,"March 8, 2019",Louisiana,Sunset,527 Bellemin St,1,0,http://www.gunviolencearchive.org/incident/1378513,https://www.klfy.com/local/woman-faces-first-degree-murder-charge-in-grand-coteau-shooting-investigation/
21,"March 8, 2019",North Carolina,Wilmington,200 block of S 12th St,0,1,http://www.gunviolencearchive.org/incident/1343022,http://www.wect.com/2019/03/09/wpd-one-injured-friday-night-shooting/
22,"March 8, 2019",Oregon,Portland,4000 block of NE 136th Ave,1,0,http://www.gunviolencearchive.org/incident/1343111,https://katu.com/news/local/man-shot-and-killed-in-northeast-portland-police-say
23,"March 8, 2019",Missouri,Kansas City,4601 Prospect Ave,1,0,http://www.gunviolencearchive.org/incident/1342861,https://www.kansascity.com/news/local/crime/article228030354.html
24,"March 8, 2019",Alaska,Anchorage,200 block of E Fifth Ave,0,0,http://www.gunviolencearchive.org/incident/1344673,https://www.ktva.com/story/40100154/apd-suspect-arrested-after-hitting-man-on-street-with-encased-rifle
25,"March 8, 2019",Iowa,Cedar Rapids,622 33rd Ave SW,0,0,http://www.gunviolencearchive.org/incident/1343243,https://kwwl.com/news/2019/03/08/21-year-old-cedar-rapids-man-faces-felony-after-kidnapping-torturing-man/
26,"March 8, 2019",Colorado,Colorado Springs,,0,0,http://www.gunviolencearchive.org/incident/1344359,https://koaa.com/news/covering-colorado/2019/03/11/colorado-springs-police-seized-guns-and-over-1000-pills-during-search/
27,"March 8, 2019",Mississippi,Jackson,1400 block of Lakeover Rd,0,0,http://www.gunviolencearchive.org/incident/1347204,http://www.wlbt.com/2019/03/18/year-old-arrested-after-armed-robbery-carjacking-jackson/
28,"March 8, 2019",California,Turlock,1400 block of S 1st St,0,1,http://www.gunviolencearchive.org/incident/1352279,https://www.modbee.com/news/local/turlock/article228206059.html
