,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
46500,"April 11, 2019",Texas,Boerne,39500 block of Frontage Rd,1,0,http://www.gunviolencearchive.org/incident/1369114,https://www.ksat.com/news/dps-investigating-trooper-involved-shooting-in-boerne-officials-say
46501,"April 11, 2019",New Jersey,Paterson,104 3rd Ave,0,1,http://www.gunviolencearchive.org/incident/1369183,http://patersontimes.com/2019/04/11/four-shootings-in-seven-hours-leaves-1-dead-5-injured-in-paterson/
46502,"April 11, 2019",New Jersey,Newark,Highland Ave and Park Ave,0,0,http://www.gunviolencearchive.org/incident/1369474,https://www.rlsmedia.com/article/newark-narcotics-investigation-leads-two-arrests
46503,"April 11, 2019",South Carolina,Anderson,320 E Beltline Blvd,1,0,http://www.gunviolencearchive.org/incident/1369073,https://www.foxcarolina.com/investigations/suspect-charged-with-murder-of-teen-found-dead-in-car/article_78daab24-5c6d-11e9-b375-ffa9a39d5458.html
46504,"April 11, 2019",Texas,Corpus Christi,Williams Dr and Airline Rd,0,1,http://www.gunviolencearchive.org/incident/1368747,https://www.kiiitv.com/article/news/crime/man-hospitalized-after-altercation-leads-to-shooting-at-airline-williams/503-39d980e7-6b59-44c8-82a8-cb77642199b6
46505,"April 11, 2019",Texas,College Station,1300 block of Barthelow Dr,0,0,http://www.gunviolencearchive.org/incident/1369492,https://www.centexproud.com/news/local/man-charged-with-parking-lot-shooting/1921179077
46506,"April 11, 2019",North Carolina,Hickory,841 S Center St,2,1,http://www.gunviolencearchive.org/incident/1369497,http://www.wbtv.com/2019/04/12/year-old-dead-year-old-injured-several-cars-riddled-with-bullets-outside-burke-co-apartment-complex/
46507,"April 11, 2019",North Carolina,Greensboro,3405 Trail Ridge Dr,0,1,http://www.gunviolencearchive.org/incident/1369515,https://myfox8.com/2019/04/12/young-man-shot-multiple-times-overnight-in-greensboro/
46508,"April 11, 2019",Texas,Athens,200 block of Brentwood Cir,1,0,http://www.gunviolencearchive.org/incident/1369494,https://www.athensreview.com/news/local_news/man-charged-in-shooting-death/article_f4957e50-5d6d-11e9-b830-3f15a13fd7b5.html
46509,"April 11, 2019",Louisiana,Shreveport,Janet Ln and Janet Cir,1,1,http://www.gunviolencearchive.org/incident/1376255,https://www.shreveporttimes.com/story/news/2019/04/19/nine-shootings-second-week-april/3512139002/
46510,"April 11, 2019",Pennsylvania,Philadelphia,800 block of W Somerset St,1,0,http://www.gunviolencearchive.org/incident/1369581,https://www.philly.com/news/michael-gleba-wissinoming-izeem-hunter-homicides-20190412.html
46511,"April 11, 2019",Colorado,Denver,100 block of S Yuma St,1,0,http://www.gunviolencearchive.org/incident/1368734,https://www.denverpost.com/2019/05/03/denver-shooting-murder-yuma-street/
46512,"April 11, 2019",Louisiana,Shreveport,2700 block of Regent St,0,1,http://www.gunviolencearchive.org/incident/1376293,https://www.shreveporttimes.com/story/news/2019/04/12/woman-shot-leg-home/3451914002/
46513,"April 11, 2019",Pennsylvania,New Castle,520 E Winter Ave,1,1,http://www.gunviolencearchive.org/incident/1370931,https://www.ncnewsonline.com/news/police-new-castle-man-wanted-for-north-hill-homicide/article_b6b48048-5fa4-11e9-8aa4-174f3097f289.html
46514,"April 11, 2019",California,Richmond,930 Wilson Ave,1,0,http://www.gunviolencearchive.org/incident/1368662,https://www.mercurynews.com/2020/11/04/richmond-officers-take-stand-describe-fatally-shooting-man-who-stood-over-his-son-knife-in-hand/
46515,"April 11, 2019",Iowa,Mason City,5 N Federal Ave,0,0,http://www.gunviolencearchive.org/incident/1369692,https://globegazette.com/news/local/crime-and-courts/charges-pending-after-three-hour-standoff-in-downtown-mason-city/article_ab42ed34-0415-5261-94b3-88a30bbe607f.html
46516,"April 11, 2019",Pennsylvania,Philadelphia,5537 Torresdale Ave,1,0,http://www.gunviolencearchive.org/incident/1368891,https://philadelphia.cbslocal.com/2019/04/18/timothy-sherfield-james-macgregor-arrested-murder-izeem-hunter-inside-frankford-store/
46517,"January 24, 2019",Texas,Dallas,8080 Park Ln,1,0,http://www.gunviolencearchive.org/incident/1311537,https://dfw.cbslocal.com/2019/12/27/19-year-old-arrested-capital-murder-of-teen-dallas-shopping-center/?fbclid=IwAR2TOFntAXHu04vHoYtSe2kiRixBRHMCFVl7z6vW56B51ysHonylkxe_Mwo
46518,"April 10, 2019",New York,Brooklyn,584 Driggs Ave,0,0,http://www.gunviolencearchive.org/incident/1368219,https://abc7ny.com/17-year-old-arrested-with-loaded-gun-in-nyc-school/5241801/
46519,"April 10, 2019",North Carolina,Wilmington,2200 block of Morgan St,0,0,http://www.gunviolencearchive.org/incident/1381100,http://www.wect.com/2019/04/26/man-accused-firing-gun-girlfriend-after-argument/
46520,"April 10, 2019",Maryland,Riverdale (Riverdale Park),5300 block of 59th Ave,1,0,http://www.gunviolencearchive.org/incident/1368399,https://wtop.com/prince-georges-county/2019/04/man-who-broke-into-prince-georges-co-house-fatally-shot/
46521,"April 10, 2019",Arizona,Chandler,Chandler Blvd and McQueen Rd,1,0,http://www.gunviolencearchive.org/incident/1367983,https://www.abc15.com/news/crime/investigation-into-chandler-murder-from-april-takes-bizarre-twist
46522,"April 10, 2019",Texas,Houston,4900 Gulf Freeway Srv Rd,0,0,http://www.gunviolencearchive.org/incident/1369096,http://www.houstontx.gov/police/nr/2019/apr/nr190411-5.htm
