,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
10000,"September 17, 2018",New York,Rochester,Scottsville Rd and Genesee St,0,0,http://www.gunviolencearchive.org/incident/1212296,https://twitter.com/mcfw/status/1041864981170536449
10001,"September 17, 2018",Michigan,Detroit,1700 block of Fenton St,0,2,http://www.gunviolencearchive.org/incident/1213038,https://www.detroitnews.com/story/news/local/detroit-city/2018/09/18/2-wounded-shootout-detroits-west-side/1343714002/
10002,"September 17, 2018",New York,Brooklyn,195 Hoyt St,1,0,http://www.gunviolencearchive.org/incident/1212658,http://www.nydailynews.com/new-york/ny-metro-cops-release-photo-of-two-brooklyn-homicide-suspects-20180921-story.html
10003,"September 17, 2018",Ohio,Lorain,E 28th St and Elyria Ave,0,0,http://www.gunviolencearchive.org/incident/1213207,https://www.morningjournal.com/news/crime/elyria-man-sentenced-in-car-shooting/article_b2579fd4-c2bf-11e9-8f41-4f2ccb8cf580.html
10004,"September 17, 2018",Maryland,Baltimore,50 block of N Smallwood St,1,0,http://www.gunviolencearchive.org/incident/1211683,https://www.wmar2news.com/news/crime-checker/baltimore-city-crime/two-men-killed-one-shot-overnight-in-baltimore
10005,"June 7, 2018",New Mexico,Espanola,20A Gun Barrel Rd,0,0,http://www.gunviolencearchive.org/incident/1279996,https://www.abqjournal.com/1258967/espanola-gun-dealer-sentenced-to-2-years-in-prison.html
10006,"June 7, 2018",Ohio,Springfield,W Grand Ave,0,0,http://www.gunviolencearchive.org/incident/1138546,https://www.springfieldnewssun.com/news/crime--law/was-awful-springfield-mom-reacts-bullet-landing-close-baby/cJQcyxioey34lkwHQxXKQP/
10007,"June 7, 2018",Kentucky,Lexington,2200 block of Kenwood Dr,2,0,http://www.gunviolencearchive.org/incident/1135609,http://www.lex18.com/story/38376986/two-identified-in-murder-suicide-on-kenwood-drive
10008,"June 7, 2018",Illinois,Chicago,400 block of W 63rd St,0,1,http://www.gunviolencearchive.org/incident/1135022,https://chicago.suntimes.com/news/man-wounded-in-drive-by-shooting-in-englewood/
10009,"June 7, 2018",Michigan,Pontiac,Monticello Ave and Stanley Ave,1,0,http://www.gunviolencearchive.org/incident/1135709,https://www.freep.com/story/news/local/michigan/oakland/2018/06/10/authorities-identify-man-shot-found-dead-pontiac-lake/688700002/
10010,"June 7, 2018",Tennessee,Nashville,588 Charles E Davis Blvd,0,1,http://www.gunviolencearchive.org/incident/1135025,http://www.wsmv.com/story/38369631/police-looking-for-suspect-in-shooting-at-public-housing-apartments
10011,"June 7, 2018",Florida,Jacksonville,6600 block of 103rd St,0,1,http://www.gunviolencearchive.org/incident/1135256,https://www.news4jax.com/news/local/jacksonville/mom-of-teen-shot-god-will-not-let-them-get-away-with-this
10012,"June 7, 2018",Illinois,Chicago,100 block of W 107th St,0,1,http://www.gunviolencearchive.org/incident/1135047,https://chicago.suntimes.com/news/man-25-shot-in-leg-in-fernwood/
10013,"June 7, 2018",Indiana,South Bend,N Elmer St and Humboldt St,0,1,http://www.gunviolencearchive.org/incident/1135065,http://www.wndu.com/content/news/Police-called-to-shooting-on-South-Bends-northwest-side-484874341.html
10014,"June 7, 2018",New York,Syracuse,200 block of Shonnard St,0,1,http://www.gunviolencearchive.org/incident/1135526,https://www.syracuse.com/crime/index.ssf/2018/06/syracuse_police_man_shot_on_shonnard_street_after_refusing_to_give_men_money.html#incart_m-rpt-1
10015,"June 7, 2018",Ohio,Columbus,2000 block of E 5th Ave,0,1,http://www.gunviolencearchive.org/incident/1136823,https://www.10tv.com/article/police-man-shot-east-columbus-over-video-game-disagreement
10016,"June 7, 2018",Maryland,Baltimore,1300 block of S Ponca St,0,1,http://www.gunviolencearchive.org/incident/1135083,http://www.baltimoresun.com/news/maryland/crime/bs-md-ci-shootings-20180607-story.html
10017,"June 7, 2018",Ohio,Sandusky,600 block of E Perkins Ave,0,0,http://www.gunviolencearchive.org/incident/1136827,http://www.sanduskyregister.com/story/201806080021
10018,"June 7, 2018",Ohio,Akron,800 block of Hamlin St,0,0,http://www.gunviolencearchive.org/incident/1136832,https://www.ohio.com/akron/news/breaking-news-news/drive-by-gunfire-misses-65-year-old-akron-man-as-he-plants-flowers-in-his-yard
10019,"June 7, 2018",California,San Francisco,1400 block of Treat Avenue,1,2,http://www.gunviolencearchive.org/incident/1135601,https://www.sfgate.com/crime/article/Two-men-accused-of-murder-in-Mission-District-12984868.php
10020,"June 7, 2018",Maryland,Chestertown,100 block of Woodstock Rd,2,1,http://www.gunviolencearchive.org/incident/1135756,http://www.stardem.com/spotlight/domestic-dispute-leaves-two-dead-one-injured/article_abc72e83-ea6a-5b21-b844-837d84871fc3.html
10021,"June 7, 2018",Florida,Pembroke Pines,7710 NW 5th St,0,0,http://www.gunviolencearchive.org/incident/1135248,https://wsvn.com/news/local/pembroke-pines-home-riddled-with-bullets-in-overnight-shooting/
10022,"June 7, 2018",Florida,Miami,SW 187th Ave and 136th St,1,0,http://www.gunviolencearchive.org/incident/1135945,https://wsvn.com/news/local/1-dead-following-shooting-in-sw-miami-dade/
10023,"June 7, 2018",Illinois,Chicago,4700 block of S Vincennes Ave,1,1,http://www.gunviolencearchive.org/incident/1135720,https://chicago.suntimes.com/2018/6/10/18355109/man-22-dies-days-after-being-shot-in-head-in-bronzeville
10024,"June 7, 2018",Ohio,Cleveland,1900 block of W 96th St,0,2,http://www.gunviolencearchive.org/incident/1135953,https://www.cleveland.com/metro/index.ssf/2018/06/shooting_on_clevelands_west_si_6.html
10025,"June 7, 2018",New York,Buffalo,1300 block of Fillmore Ave,1,0,http://www.gunviolencearchive.org/incident/1135421,https://www.wivb.com/news/crime/buffalo-man-admits-to-fatal-shooting-on-fillmore-ave/1393382681
10026,"June 7, 2018",Indiana,Beech Grove,100 block of S 7th Ave,0,0,http://www.gunviolencearchive.org/incident/1135964,https://www.indystar.com/story/news/crime/2018/06/07/weed-candies-50-pounds-marijuana-seized-massive-two-state-bust/680593002/
10027,"June 7, 2018",California,San Francisco,500 block of Mission Street,1,0,http://www.gunviolencearchive.org/incident/1135590,http://sanfrancisco.cbslocal.com/2018/06/08/san-francisco-police-seek-husband-who-allegedly-killed-wife/
10028,"June 7, 2018",New Hampshire,Manchester,298 Queen City Ave,0,0,http://www.gunviolencearchive.org/incident/1136317,https://whdh.com/news/man-arrested-on-gun-drug-charges-at-manchester-nh-hotel/
10029,"June 7, 2018",Maine,York,I-95,0,0,http://www.gunviolencearchive.org/incident/1136867,https://www.pressherald.com/2018/06/09/two-maine-men-charged-with-illegal-drug-trafficking/
10030,"October 17, 2018",New Mexico,Albuquerque,4000 San Mateo Blvd NE,0,1,http://www.gunviolencearchive.org/incident/1908540,https://www.abqjournal.com/1317873/911-calls-dispatch-logs-shed-light-on-hostage-incident-ex-suspect-now-faces-multiple-charges-in-federal-court.html
10031,"October 17, 2018",Pennsylvania,Donora,600 block of 6th St,0,0,http://www.gunviolencearchive.org/incident/1235403,https://observer-reporter.com/news/policebeat/
10032,"October 17, 2018",Ohio,Cincinnati,Purcell Ave and Lehman Rd,0,1,http://www.gunviolencearchive.org/incident/1235427,http://www.fox19.com/2018/10/18/police-man-shot-chest-shows-up-hospital/
10033,"October 17, 2018",Washington,Longview,605 California Way,1,0,http://www.gunviolencearchive.org/incident/1234918,https://www.columbian.com/news/2018/oct/22/man-killed-in-longview-officer-involved-shooting-idd/
10034,"October 17, 2018",Missouri,Saint Louis,3510 Gravois Ave,0,1,http://www.gunviolencearchive.org/incident/1235130,https://www.stltoday.com/news/local/crime-and-courts/police-officer-shoots-suspect-armed-with-pellet-gun-in-south/article_9aac9ee5-5a4a-52bd-966d-c98f67b790d4.html
10035,"October 17, 2018",Florida,Jacksonville,4000 block of Sunbeam Rd,0,1,http://www.gunviolencearchive.org/incident/1234627,https://www.news4jax.com/news/man-shot-multiple-times-on-jacksonvilles-southside-police-say
10036,"October 17, 2018",New Jersey,Cape May (North Cape May),100 block of Old Mill Rd,0,1,http://www.gunviolencearchive.org/incident/1270792,https://www.capemaycountyherald.com/news/crime/article_cf4bb636-030f-11e9-aed0-eb6300041103.html
10037,"October 17, 2018",Wyoming,Mills,500 block of Platte Ave,2,0,http://www.gunviolencearchive.org/incident/1236014,https://trib.com/news/local/crime-and-courts/mills-police-say-last-week-s-shooting-was-murder-suicide/article_af231c23-a807-5e51-84d4-ed00964d03ba.html
10038,"October 17, 2018",Wisconsin,Milwaukee,3900 block of N 10th St,2,0,http://www.gunviolencearchive.org/incident/1235211,http://www.milwaukeerenaissance.com/MothersAgainstGunViolence/MemorialToHomicideVictims2018
10039,"October 17, 2018",South Carolina,Orangeburg,,0,1,http://www.gunviolencearchive.org/incident/1236347,https://thetandd.com/news/local/crime-and-courts/suspect-sought-after-man-shot-injured-outside-orangeburg-apartment/article_e09708b6-09e9-5a95-aeb4-f535f11ab451.html
10040,"October 17, 2018",New York,Nyack,4 Waldron Ave,0,0,http://www.gunviolencearchive.org/incident/1235686,https://www.nbcnewyork.com/news/local/Grocery-Store-Customer-Tries-to-Swat-Robbers-Gun-Gets-Smacked-With-It-Nyack-Rockland-497957571.html?fbclid=IwAR09y5WAKKIK6kdeG-PIIg0rhC8bb1rmprj-MZYpwmzORTji4thf528Gvjw
10041,"October 17, 2018",California,Fresno,2200 block of South Garden Ave,0,0,http://www.gunviolencearchive.org/incident/1237875,https://www.fresnobee.com/news/local/crime/article220239650.html
10042,"October 17, 2018",Mississippi,Greenville,400 block of Robertshaw St,1,0,http://www.gunviolencearchive.org/incident/1235950,http://deltadailynews.com/15-year-old-on-bike-shot-and-killed-in-greenville/
10043,"October 17, 2018",Mississippi,Calhoun City,S Madison St,0,1,http://www.gunviolencearchive.org/incident/1235932,https://www.wcbi.com/one-injured-one-sought-following-calhoun-city-shooting/
10044,"October 17, 2018",Mississippi,Biloxi,765 Wells Dr,0,1,http://www.gunviolencearchive.org/incident/1235033,https://www.sunherald.com/news/local/crime/article220321115.html
10045,"October 17, 2018",Mississippi,Natchez,Gaile Ave,1,0,http://www.gunviolencearchive.org/incident/1236400,http://www.wlbt.com/2018/10/19/homeless-man-shot-killed-natchez/
10046,"October 17, 2018",Virginia,Chesapeake,2000 block of Linster St,1,0,http://www.gunviolencearchive.org/incident/1235497,https://wtkr.com/2018/10/18/chesapeake-police-investigate-shooting-with-life-threatening-injuries/
10047,"October 17, 2018",Alabama,Mobile,3500 block of Vista Ridge Dr,0,1,http://www.gunviolencearchive.org/incident/1236412,https://www.fox10tv.com/news/police-verbal-altercation-between-brothers-leads-to-gunshot-wound-in/article_99a32dbe-d300-11e8-83ad-c3c25a0ca7ea.html
10048,"October 17, 2018",Tennessee,Memphis,4647 Cotton Ln,0,1,http://www.gunviolencearchive.org/incident/1236433,http://www.wmcactionnews5.com/2018/10/19/robber-shoots-himself-leg/
10049,"October 17, 2018",Illinois,Chicago,8100 block of S Eberhart Ave,1,0,http://www.gunviolencearchive.org/incident/1234876,https://chicago.suntimes.com/news/prosecutors-chatham-murder-victim-knew-alleged-shooter/
10050,"October 17, 2018",Kansas,Wichita,1200 block of N Topeka St,0,1,http://www.gunviolencearchive.org/incident/1235157,https://www.kansas.com/news/local/crime/article220470435.html
10051,"October 17, 2018",Illinois,Chicago,W Cortez St and N Pine Ave,0,1,http://www.gunviolencearchive.org/incident/1234885,https://chicago.suntimes.com/news/man-shows-up-at-oak-park-hospital-says-he-was-shot-in-austin/
10052,"October 17, 2018",Virginia,Newport News,2000 block of Jefferson Ave,0,1,http://www.gunviolencearchive.org/incident/1235493,https://wtkr.com/2018/10/17/18-year-old-injured-in-newport-news-shooting/
10053,"October 17, 2018",South Carolina,Fort Mill (Indian Land),9941 Charlotte Hwy,0,0,http://www.gunviolencearchive.org/incident/1234894,https://www.wsoctv.com/news/local/lancaster-co-sheriff-s-deputies-investigate-gun-shop-robbery/854698689
10054,"October 17, 2018",Utah,Salt Lake City (Kearns),4460 W 5700 S,1,0,http://www.gunviolencearchive.org/incident/1235151,https://www.fox13now.com/news/local-news/man-involved-in-killing-sslpd-officer-sentenced-up-to-30-years
10055,"January 26, 2018",Maryland,Baltimore,2300 block of Ruskin Ave,0,0,http://www.gunviolencearchive.org/incident/1037021,https://www.facebook.com/pg/BaltimoreCityPolice/posts/?ref=page_internal
10056,"January 26, 2018",Florida,Orlando,Lake Eola,0,0,http://www.gunviolencearchive.org/incident/1040017,http://www.wesh.com/article/shots-fired-into-lake-eola-office-building/15930238
10057,"January 26, 2018",North Carolina,Statesville,Bostain Lake Rd,0,0,http://www.gunviolencearchive.org/incident/1043951,http://www.wbtv.com/story/37441233/son-accused-of-breaking-into-moms-house-stealing-gun-and-safe
10058,"January 26, 2018",Oklahoma,Pawhuska,15316 Co Rd 4201,0,0,http://www.gunviolencearchive.org/incident/1036326,http://www.newson6.com/story/37357991/search-underway-for-two-people-after-osage-county-chase
10059,"January 26, 2018",Georgia,Atlanta,Marco Dr NW,0,0,http://www.gunviolencearchive.org/incident/1036914,http://www.wsbtv.com/news/local/atlanta/gunshots-lead-police-to-squatter-house-full-of-drugs-and-guns-police-say/689981498
10060,"January 26, 2018",Indiana,Elkhart,500 W Marion St,0,1,http://www.gunviolencearchive.org/incident/1036976,http://wsbt.com/news/local/at-least-one-injured-in-elkhart-shooting
10061,"January 26, 2018",New Mexico,Albuquerque,1500 block of Calle Sonrisa NE,1,0,http://www.gunviolencearchive.org/incident/1037134,http://www.ladailypost.com/content/fbi-albuquerque-man-wanted-bank-robbery-charges-apparently-commits-suicide
10062,"January 26, 2018",Kansas,Topeka,1900 block of N Kansas Ave,0,0,http://www.gunviolencearchive.org/incident/1037832,http://ksnt.com/2018/01/28/search-warrant-leads-to-felon-being-arrested-for-stolen-gun-drug-charges/
10063,"January 26, 2018",Pennsylvania,Easton,1434 Lehigh St,0,0,http://www.gunviolencearchive.org/incident/1036344,http://www.lehighvalleylive.com/easton/index.ssf/2018/01/easton_drug_raid_nets_crack_on.html
10064,"January 26, 2018",California,Calistoga,Myrtledale Rd and Tubbs Ln,0,0,http://www.gunviolencearchive.org/incident/1037793,http://napavalleyregister.com/news/local/sheriff-teens-arrested-upvalley-with-loaded-gun/article_3b298c22-da85-5259-a62d-23aa65f47587.html
10065,"January 26, 2018",Oklahoma,Tulsa,W Marshall St and N Denver Ave,0,1,http://www.gunviolencearchive.org/incident/1038330,http://www.krmg.com/news/local/man-shot-during-apparent-gun-battle-tulsa/jj1jvGtjcGkiti6u8Z0XNL/
10066,"January 26, 2018",Tennessee,Nashville,874 Murfreesboro Pk,0,1,http://www.gunviolencearchive.org/incident/1038318,http://wkrn.com/2018/01/26/man-accidentally-shoots-himself-in-leg-at-south-nashville-restaurant/
10067,"January 26, 2018",Indiana,Terre Haute,900 S 5th St,0,0,http://www.gunviolencearchive.org/incident/1038600,http://www.mywabashvalley.com/news/overnight-police-chase-results-in-arrest/940601114
10068,"January 26, 2018",South Carolina,Loris,Barts Rd,0,1,http://www.gunviolencearchive.org/incident/1036375,http://www.myrtlebeachonline.com/news/local/crime/article196801214.html
