,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
28500,"April 21, 2018",New York,Brooklyn,,0,0,http://www.gunviolencearchive.org/incident/1620430,https://www.google.com/amp/s/www.nydailynews.com/new-york/ny-barclays-center-shooting-plea-20190509-utbrzv7bx5az3j7sjeshuxeah4-story.html%3foutputType=amp
28501,"August 25, 2018",Louisiana,New Orleans,2200 block of Octavia St,0,0,http://www.gunviolencearchive.org/incident/1196098,https://www.nola.com/crime/index.ssf/2018/08/two_carjackings_and_one_armed.html
28502,"August 25, 2018",Michigan,Kalamazoo,1000 block of Interfaith Blvd,0,1,http://www.gunviolencearchive.org/incident/1195456,https://www.wzzm13.com/article/news/shots-fired-female-injured-in-kalamazoo/69-587496039
28503,"August 25, 2018",Massachusetts,Boston,Columbia Rd and Seaver St,0,0,http://www.gunviolencearchive.org/incident/1195630,http://bpdnews.com/news/2018/8/25/one-less-gun
28504,"August 25, 2018",Kentucky,Lexington,Dakota Street,0,1,http://www.gunviolencearchive.org/incident/1195468,http://www.lex18.com/story/38960000/lexington-police-investigate-2-shootings-on-west-side
28505,"August 25, 2018",Kentucky,Lexington,2301 Versailles Rd,0,0,http://www.gunviolencearchive.org/incident/1195467,http://www.lex18.com/story/38960000/lexington-police-investigate-2-shootings-on-west-side
28506,"August 25, 2018",Georgia,Atlanta,Archer Way NW and Joseph E Boone Blvd NW,1,0,http://www.gunviolencearchive.org/incident/1196139,https://www.11alive.com/article/news/crime/19-year-old-shot-in-chest-dies/85-587682549
28507,"August 25, 2018",Maryland,Baltimore,1400 block of N Mount St,1,0,http://www.gunviolencearchive.org/incident/1195986,http://www.baltimoresun.com/news/maryland/crime/bs-md-lansdowne-shooting-20180912-story.html
28508,"August 25, 2018",North Carolina,Charlotte,4701 N Tryon St,1,0,http://www.gunviolencearchive.org/incident/1195478,https://www.wsoctv.com/news/local/cmpd-investigating-deadly-shooting-involving-a-federal-agent-in-north-charlotte/820266258
28509,"August 25, 2018",Massachusetts,Quincy,33 Hunt St,0,1,http://www.gunviolencearchive.org/incident/1277984,http://www.patriotledger.com/news/20181206/grand-jury-indicts-man-accused-of-shooting-gun-at-quincy-football-game
