,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
34500,"March 20, 2018",Maine,Ellsworth,,0,0,http://www.gunviolencearchive.org/incident/1074972,https://bangordailynews.com/2018/02/26/news/hancock/police-ellsworth-student-who-made-threat-had-access-to-weapons/
34501,"March 20, 2018",Ohio,Canton,,0,0,http://www.gunviolencearchive.org/incident/1074632,http://www.cantonrep.com/news/20180321/canton-man-accused-of-stealing-loaded-gun-ammo
34502,"March 20, 2018",New York,Brooklyn,127 Utica Ave,0,0,http://www.gunviolencearchive.org/incident/1075850,https://www.nbcnewyork.com/on-air/as-seen-on/NYPD-Chief-Stops-Man-With-Gun-Near-Precinct_New-York-477324793.html
34503,"March 20, 2018",Michigan,Muskegon,500 block of W Grand Ave,0,1,http://www.gunviolencearchive.org/incident/1074501,http://www.mlive.com/news/muskegon/index.ssf/2018/03/suspect_who_fled_cops_and_cras.html#incart_river_index
34504,"March 20, 2018",District of Columbia,Washington,1800 block of M St NE,0,0,http://www.gunviolencearchive.org/incident/1081034,https://mpdc.dc.gov/release/arrest-made-assault-dangerous-weapon-gun-offense-1800-block-m-street-northeast
34505,"March 20, 2018",Nebraska,Lincoln,3700 block of NW Boxwood Ct,0,0,http://www.gunviolencearchive.org/incident/1076868,http://www.lincoln.ne.gov/city/police/stats/cfsthu.htm
34506,"March 20, 2018",Delaware,Newark,S Main St,0,0,http://www.gunviolencearchive.org/incident/1074421,http://www.wdel.com/news/disregarded-traffic-light-in-newark-leads-to-drug-gun-charges/article_2d4e93fe-2d21-11e8-8e55-13999246c270.html
34507,"March 20, 2018",Minnesota,Cass Lake,Pine St NW,0,0,http://www.gunviolencearchive.org/incident/1075269,http://www.bemidjipioneer.com/news/crime-and-courts/4420900-cass-lake-man-arrested-drug-bust
34508,"March 20, 2018",Minnesota,Minneapolis,E 36th St and 2nd Ave S,0,1,http://www.gunviolencearchive.org/incident/1075272,http://kstp.com/news/police-1-injured-following-tuesday-night-shooting/4835286/?cat=12196
34509,"March 20, 2018",Pennsylvania,Lansford,331 W Kline Ave,0,0,http://www.gunviolencearchive.org/incident/1075955,http://standardspeaker.com/news/police-march-23-1.2317299
34510,"March 20, 2018",New York,Middle Island,99 Middle Island Blvd,0,1,http://www.gunviolencearchive.org/incident/1073537,https://twitter.com/rockypointwatch/status/976123597751246849
34511,"March 20, 2018",Maryland,Baltimore,3900 block of N Hilton Rd,1,0,http://www.gunviolencearchive.org/incident/1074456,http://www.baltimoresun.com/news/maryland/crime/bs-md-ci-hilton-road-homicide-20180321-story.html
34512,"March 20, 2018",Maryland,Baltimore,1400 block of McCulloh St,0,1,http://www.gunviolencearchive.org/incident/1074234,https://www.abc2news.com/news/crime-checker/baltimore-city-crime/22-year-old-man-shot-in-baltimore
34513,"November 8, 2018",Rhode Island,Coventry,23 Coventry Shoppers Park,0,0,http://www.gunviolencearchive.org/incident/1251690,http://www.abc6.com/story/39456049/k9-finds-illegal-gun-tossed-in-woods-after-alleged-assault
34514,"November 8, 2018",Illinois,Bolingbrook,257 Douglass Way,2,0,http://www.gunviolencearchive.org/incident/1250378,https://www.theherald-news.com/2018/11/09/coroner-names-couple-slain-in-murder-suicide/ap9dgvz/
34515,"November 8, 2018",Vermont,Burlington,2394 Duck Pond Rd,0,0,http://www.gunviolencearchive.org/incident/1251698,https://www.caledonianrecord.com/news/local/federal-indictment-illegal-guns-drugs-ammo-charges-against-michael-pimental/article_c3e866ab-4f97-5b5d-913b-43d1642b6799.html
34516,"November 8, 2018",Alabama,Mobile,446 Azalea Rd,1,0,http://www.gunviolencearchive.org/incident/1251700,https://www.al.com/news/2018/11/mobile-homicide-victim-named-by-family.html#incart_river_index
